FunctionID_f,AvgServiceTimeMilliseconds,Invocations30Days
7227,1,11498
8241,11,11487
2913,1,11484
1406,1,11481
9259,2,11481
3415,65,11480
4514,1,11476
5702,1,11475
1463,1,11467
9809,84,11462
9309,3,11457
8379,1,11455
3823,1,11439
7060,121,11352
2467,1,11231
8844,59,11148
4647,1516,11021
9783,1256,11004
3453,104,10961
2619,143,10945
5692,25,10796
3833,11,10697
7050,104,10504
5840,170,10473
9155,1,10420
2314,1,10372
5403,10,10283
1493,107570,10171
3587,121,10070
2911,1,10069
260,1101,10050
2063,1221,10022
7494,114,9592
4776,1497,9516
2269,445,9452
305,1130,8897
6076,1088,8880
8016,5849,8878
6456,46,8873
2645,103,8784
4473,119,8774
6659,131,8678
9659,17,8643
1661,1522,8640
3227,355,8640
3514,19,8640
4302,101,8640
9475,32,8640
9587,74,8640
1605,80,8639
1623,966,8638
1819,174,8638
4123,654,8635
9196,1697,8635
4132,1050,8629
5041,14,8627
5612,95,8626
5615,894,8626
1990,1,8624
8230,433,8618
7841,3078,8616
1970,125,8611
3106,112,8607
3372,112,8603
10550,107,8601
9219,102,8597
9958,57,8590
8907,124,8588
4156,4,8572
8816,1,8566
2636,131,8554
265,263,8549
2975,1381,8443
8225,36,8428
8003,1179,8304
370,10406,8285
10479,1503,8206
4197,125,8198
7769,111,8197
7648,864,8121
1237,1198,8077
196,252,8028
7356,193,8007
9403,36,7939
5984,215,7802
4563,2,7799
3123,49,7785
726,10,7673
247,24,7634
10414,309,7630
6759,140,7419
1554,4,7405
7273,108,7324
6814,7592,7315
4566,55,7293
10298,1169,7237
774,106,7225
3847,115,7200
6350,1,7200
9887,1,7200
40,1,7199
10468,8420,7189
676,15,7184
2722,101,7054
945,1536,7048
236,41,7022
4912,12,7010
478,22,7001
4253,10,6995
3710,310,6835
2591,1516,6816
5569,30,6805
2757,103,6715
3851,17,6714
9825,16835,6700
1978,16272,6656
6655,152,6582
8541,14350,6580
7085,242,6541
3660,68,6481
6531,6,6448
2086,1050,6420
3667,19,6411
4378,12,6244
3474,460,6214
7629,9990,6199
5357,21,6158
462,25,6113
8677,1942,6086
7228,21800,6034
8858,15,6008
8892,9020,5978
3245,235,5975
219,461,5917
3984,2,5898
3538,357,5865
4724,1034,5827
6405,122,5761
309,129,5760
314,32,5760
326,102,5760
3204,178,5760
